id,direction,section,verse,type,name_in_text,also_known_as,modern_name,state,deity,significance,nearest_railway_station,how_to_reach,confidence,sources
60,North,Uttara Prabandha (North),V.41-46,Kshetra,Badari Kshetra,Vishala Badari; Badarinath,Badarinath,Uttarakhand,Badari Narayana (Vishnu / Nara-Narayana),"'The spiritual capital of Bharata-khanda,' used to establish Narayana's supremacy. The Alakananda flows here; nearby Vasudhara falls is where Hayagriva appeared at Brahma's sacrifice; caves of Vyasa and Ganesha are noted. This is the last place of the Uttara section.",Rishikesh (nearest railhead),"Rail to Rishikesh/Haridwar, then road (~295 km) via Devprayag–Joshimath.",high,https://tirthaprabandha.wordpress.com/2017/12/16/badari-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
61,North,Uttara Prabandha (North),V.42,Kshetra,Uttara Badari,Uttara Badarikashrama,Hidden Himalayan region north of Vishala Badari,Himalayas (beyond Badarinath),Narayana; abode of Veda Vyasa and Sri Madhwacharya,"Distinguished from the commonly-visited Vishala Badari: a further-north Uttara Badari 'where Lord Veda Vyasa and Sri Madhwacharya reside even today,' revered as an inaccessible divine ashrama rather than an ordinary pilgrimage stop.",unknown (not publicly accessible),"Described as a hidden region beyond Badarinath, not reachable as a normal pilgrimage destination.",high,https://tirthaprabandha.wordpress.com/2017/12/16/badari-kshetra/ | https://tirthaprabandha.wordpress.com/wp-content/uploads/2018/02/tirthaprabandha-english-translation-full.pdf
62,East,Purva Prabandha (East),V.1,Tirtha,Ganga-sagara sangama,Gangasagar; Sagara sangama,Gangasagar (Sagar Island),West Bengal,Kapila / Ganga (Ganga's confluence with the sea),"Citing Madhwacharya's Mahabharata Tatparya Nirnaya, this is where the Ganga merges into the Bay of Bengal; the commentary ties it to the story of Varuna's curse. It opens the eastern circuit.",Kakdwip / Namkhana,"Rail to Kakdwip/Namkhana from Kolkata, then road to Lot-8/Harwood Point and ferry to Sagar Island.",high,https://tirthaprabandha.wordpress.com/2017/12/20/ganga-sagara-sangama/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
63,East,Purva Prabandha (East),V.2,Kshetra,Puri Kshetra,Purushottama Kshetra; Jagannath Puri,Puri,Odisha,Jagannatha (with Balabhadra and Subhadra),One of the four celebrated kshetras of Bharata; the wooden murtis were fashioned by Vishwakarma from a log found in the sea. Vadiraja uses the shrine to stress tattvavada — the supremacy of Vishnu — as the essential 'handle.',Puri,Direct trains to Puri; ~60 km by road from Bhubaneswar.,high,https://tirthaprabandha.wordpress.com/2017/12/22/puri-kshetra/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
64,East,Purva Prabandha (East),V.3,Kshetra,Srishaila,Srisailam; Mallikarjuna,Srisailam,Andhra Pradesh,Shiva as Mallikarjuna (jyotirlinga),One of the jyotirlingas; the linga is white like a mallika flower with the moon in Shiva's matted locks. Worship of Rudra here and a bath in the Devahrada yields merit equal to an Ashvamedha yaga.,Markapur Road (approx.),"Road from Hyderabad (~200 km), Kurnool or Nandyal; buses to Srisailam hill.",high,https://tirthaprabandha.wordpress.com/2017/12/22/srishaila/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
65,East,Purva Prabandha (East),V.4-8,Kshetra,Ahobala,Ahobilam; Nava-Narasimha kshetra,Ahobilam,Andhra Pradesh,Narasimha,"Where Narasimha manifested to slay Hiranyakashipu and protect Prahlada; Vadiraja dwells on the paradoxical man-lion form as a mark of the Lord's transcendent, omnipresent nature.",Nandyal,"Rail to Nandyal (~65 km), then road to Lower and Upper Ahobilam.",high,https://tirthaprabandha.wordpress.com/2017/12/22/ahobala/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
66,East,Purva Prabandha (East),V.9,River,Bhavanashini,Bhavanasini nadee,Bhavanasi river (Ahobilam),Andhra Pradesh,Sacred river; waters used for Narasimha's puja,The river at Ahobilam whose waters are used for the worship of Narasimha; invoked as washing the deity's lotus feet and thereby purifying the devotee's sins.,Nandyal,At Ahobilam; reach via Nandyal then road.,high,https://tirthaprabandha.wordpress.com/2017/12/23/bhavanashini/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
67,East,Purva Prabandha (East),V.10,Tirtha,Nivrutti sangama,Sapta-nadi sangama,Nivrutti Sangamam (near Sangameswaram),Andhra Pradesh,Bhimeshwara (Shiva) at the confluence,"A confluence of seven rivers (including Krishnaveni, Malapahari, Bhimarathi, Tunga, Bhadra, Bhavanashini) where human doshas are removed and auspiciousness bestowed; now largely submerged by the Srisailam reservoir, visible only seasonally.",Kurnool City,Road from Kurnool (~30 km); seasonal access.,high,https://tirthaprabandha.wordpress.com/2017/12/23/nivrutti-sangama/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
68,East,Purva Prabandha (East),V.11-12,River,Tungabhadra nadee,Tunga-Bhadra,Tungabhadra river,Karnataka / Andhra Pradesh,Sacred river,"The Tunga and Bhadra, said to originate from the tusks of Varaha, are sweet-watered rivers that destroy heaps of sins and form a path to moksha; they meet at Koodli in Shivamogga district.",Hosapete (Hospet) Junction (for the Hampi stretch),Accessed at various points; Hospet/Harihar/Koodli by road and rail.,high,https://tirthaprabandha.wordpress.com/2017/12/24/tungabhadra-nadee/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
69,East,Purva Prabandha (East),V.13-16,Kshetra,Hampi,Pampa; Pampakshetra; Vijayanagara,Hampi,Karnataka,Vijaya Vittala (Vishnu); also Virupaksha (Shiva),Capital region of the 16th-century Vijayanagara empire; the Vijaya Vittala temple is celebrated and Pampa is revered as destroying sins by merely uttering its name. The Virupaksha temple is where Sri Vyasaraja composed the Shivastuti; the Vittala shrine was later damaged after Talikota.,Hosapete (Hospet) Junction,"Rail to Hosapete (~13 km), then road to Hampi.",high,https://tirthaprabandha.wordpress.com/2017/12/24/hampi/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
70,East,Purva Prabandha (East),V.17-18,Kshetra,Anegondi,Gaja-gahvara; Kishkindha region,Anegondi (across Tungabhadra from Hampi),Karnataka,Hanuman's birthplace; Navavrindavana of Dvaita saints,"An early Vijayanagara capital and, in Madhwa tradition, the birthplace of Hanuman; nearby Navavrindavana holds the vrindavanas of nine Dvaita yatis (including Jayatirtha and Vyasatirtha). Vadiraja likens eight of them to the eight diggajas guarding Madhwa siddhanta.",Hosapete (Hospet) Junction,"Rail to Hosapete, then road; cross the Tungabhadra near Hampi.",high,https://tirthaprabandha.wordpress.com/2017/12/24/anegondi/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
71,East,Purva Prabandha (East),V.19-29,Kshetra,Tirupati,Tirumala; Venkatadri; Bhuvaikuntha,Tirumala–Tirupati,Andhra Pradesh,Venkateshwara / Srinivasa (Vishnu),"One of the swayamvyakta maha-kshetras and 'Vaikuntha on earth,' attested in the Vedas, Pancharatra and over twelve Puranas (chiefly the Venkatesha Mahatmya). The hill is a manifestation of Shesha, and Swami Pushkarini is its foremost tank.",Tirupati,"Rail to Tirupati, then road/bus (or walk) up the ghat to Tirumala.",high,https://tirthaprabandha.wordpress.com/2017/12/25/tirupati/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
72,East,Purva Prabandha (East),V.30,River,Suvarnamukhi nadee,Swarnamukhi river,Swarnamukhi river (Srikalahasti),Andhra Pradesh,Sacred river,The golden-hued river is invoked to make the pilgrim pure and grant a golden radiance of face; the famous Srikalahasti temple stands on its banks.,Srikalahasti,Rail to Srikalahasti / Renigunta; road from Tirupati (~35 km).,high,https://tirthaprabandha.wordpress.com/2017/12/28/suvarnamukhi-nadee/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
73,East,Purva Prabandha (East),,Kshetra,Srikalahasti,Kalahasti; Dakshina Kailasa,Srikalahasti,Andhra Pradesh,Shiva as Kalahastiswara (Vayu-linga),Named in the Suvarnamukhi passage as the 'famous' temple on the river's banks; referenced within the Tirtha Prabandha's Suvarnamukhi verse rather than as a standalone entry.,Srikalahasti,Rail to Srikalahasti; road from Tirupati (~35 km).,medium,https://tirthaprabandha.wordpress.com/2017/12/28/suvarnamukhi-nadee/
74,East,Purva Prabandha (East),V.31-36,Kshetra,Kanchi Kshetra,Kanchipuram; Kanchi,Kanchipuram,Tamil Nadu,Varadaraja (Vishnu); also Ekamreshwara (Shiva) and Kamakshi,"Vadiraja celebrates Varadaraja, who appeared from the middle of Brahma's yajna-vedika; Kanchi is figured as the girdle (kanchi) of Bhudevi. He also notes the Ekamreshwara linga at the mango-tree root and the Kamakshi shrine.",Kanchipuram,Rail to Kanchipuram; road from Chennai (~75 km).,high,https://tirthaprabandha.wordpress.com/2017/12/28/kanchi-kshetra/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
75,East,Purva Prabandha (East),V.37,Kshetra,Tiruvannamalai,Arunachala,Tiruvannamalai,Tamil Nadu,Shiva as Arunachaleswara (agni-tattva linga),The Arunachala hill is held to embody the agni-tattva linga of Shiva; the text notes the auspicious Kartika Pournami fire lit atop the hill.,Tiruvannamalai,Rail to Tiruvannamalai; road from Chennai (~180 km) via Vellore.,high,https://tirthaprabandha.wordpress.com/2017/12/30/tiruvannamalai/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
76,East,Purva Prabandha (East),V.38,Kshetra,Tirukoiluru,Tirukovilur; Ulagalantha Perumal kshetra,Tirukoilur,Tamil Nadu,Vamana in Trivikrama form (Vishnu),"Per the sthala purana, where Vamana took the Trivikrama form and measured the whole brahmanda with the tip of his toe-nail; the temple has an unusually tall (~10 ft) Trivikrama murti.",Villupuram Junction (approx.),Road from Villupuram (~35 km) or Tiruvannamalai.,high,https://tirthaprabandha.wordpress.com/2017/12/30/tirukoiluru/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
77,East,Purva Prabandha (East),V.39-40,Kshetra,Vruddhachaleshwara,Vriddhachalam; Pazhamalainathar,Vriddhachalam,Tamil Nadu,Shiva as Sadyojata (three-eyed),"A Paadal Petra Sthalam where, per the sthala purana, Shiva appeared to bless a rishi; presented as a sacred kshetra ~60 km from Tirukoilur.",Vriddhachalam Junction,Rail to Vriddhachalam; road from Tirukoilur (~60 km).,high,https://tirthaprabandha.wordpress.com/2017/12/30/vruddhachaleshwara/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
78,East,Purva Prabandha (East),V.41,Kshetra,Srimushnam,Sri Bhuvaraha kshetra,Srimushnam,Tamil Nadu,Bhuvaraha (Varaha avatar of Vishnu),"Among the eight swayamvyakta kshetras; where Varaha incarnated to slay Hiranyaksha and, after rescuing Bhudevi, took residence. Sri Madhwacharya performed a chaturmasya here, and a carved image of Madhwa on a temple pillar is worshipped to this day.",Chidambaram / Vriddhachalam (approx.),Road from Chidambaram (~25 km) or Vriddhachalam.,high,https://tirthaprabandha.wordpress.com/2017/12/30/srimushnam/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
79,East,Purva Prabandha (East),V.42-43,Kshetra,Kumbhakona Kshetra,Kumbhakonam; Kamakoshneepura,Kumbakonam,Tamil Nadu,Sharangapani (Vishnu); also Kumbheshwara (Shiva),"One of the most famous tirtha-kshetras of South India, dense with temples; its five principal shrines are Sharangapani, Kumbheshwara, Vageeshwara, Ramaswamy and Chakrapani.",Kumbakonam,Rail to Kumbakonam; road from Thanjavur (~40 km).,high,https://tirthaprabandha.wordpress.com/2017/12/30/kumbhakona-kshetra/ | https://tirthaprabandha.wordpress.com/purva-prabandha/
80,South,Dakshina Prabandha (South),V.1-8,Kshetra,Srirangam,Antya Ranga (of the three Ranga-kshetras),Srirangam (near Tiruchirappalli),Tamil Nadu,"Ranganatha (Vishnu on Shesha, with Sri and Bhudevi)","One of the self-manifested (svayam-vyakta) shrines of Vishnu, with seven concentric prakaras. The commentary recounts the deity was given by Brahma to Ikshvaku, entrusted by Rama to Vibhishana, and remained here through King Dharmavarma's merit.",Srirangam (SRGM); junction Tiruchirappalli (TPJ),"On Srirangam island in the Kaveri, ~10 km from Tiruchirappalli; rail/road via Trichy.",high,https://tirthaprabandha.wordpress.com/2018/01/01/srirangam/ | https://tirthaprabandha.wordpress.com/dakshina-prabandha/
81,South,Dakshina Prabandha (South),V.9,Tirtha,Chandrapushkarani Tirtha,Chandra Pushkarani,"Sacred tank, fifth prakara of Srirangam temple",Tamil Nadu,Chandra (Moon deity),"Chandra performed tapas here after leaving the Ganga in Shiva's hair, so his sannidhana at this tirtha is exceptionally strong; the commentary says only an unfortunate person would fail to worship Chandra here.",Srirangam (SRGM) / Tiruchirappalli (TPJ),Within the Srirangam temple complex (fifth enclosure).,high,https://tirthaprabandha.wordpress.com/2018/01/13/chandrapushkarani-tirtha/
82,South,Dakshina Prabandha (South),V.10-11,River,Kaveri nadee,Kaveri (Cauvery) river,Kaveri river,Karnataka / Tamil Nadu,Associated with Ranganatha on its river-islands,"'The mother of the people of Chola desha' and 'the giver of both bhukti and mukti'; Ranganatha is enshrined on the islands where the river splits and rejoins at the three Ranga-kshetras. Celebrated in the Vedas, Mahabharata and Bhagavata.",unknown (river),Flows through Karnataka and Tamil Nadu; sacred bathing points at the Ranga-kshetras.,high,https://tirthaprabandha.wordpress.com/2018/01/13/kaveri-nadee/
83,South,Dakshina Prabandha (South),V.12,Kshetra,Vrushabhachala,Alagar Koil / Azhagar Koil; Kallazhagar,Alagar Koil (Alagar Hills),Tamil Nadu,"Sundararaja (Kallazhagar), a form of Narayana",Yama performed intense tapas at this hill to obtain the darshan of Narayana as Sundararaja; the deity is likened to the shining moon adorning the sacred hill.,Madurai Junction (MDU),~20 km northeast of Madurai in the Alagar Hills.,high,https://tirthaprabandha.wordpress.com/2018/01/14/vrushabhachala/
84,South,Dakshina Prabandha (South),V.13,Tirtha,Nupuraganga Tirtha,Nupura Ganga,Nupura Gangai (tank/stream at Alagar Koil),Tamil Nadu,Associated with Vishnu (from the Lord's anklet/nupura),At Vrushabhachala; said to have issued from the Lord's anklet. Vadiraja invokes its waters to relieve him from 'the slush of the hard group of sins' and to sanctify the heart.,Madurai Junction (MDU),"At/near Alagar Koil, ~20 km from Madurai.",high,https://tirthaprabandha.wordpress.com/2018/01/14/nupuraganga-tirtha/
85,South,Dakshina Prabandha (South),V.14,Kshetra,Darbhashayana,Darbhasayanam / Thirupullani (Adi Jagannatha),Thirupullani,Tamil Nadu,Rama (two-armed reclining form on darbha grass),Where Rama lay on a bed of kusha (darbha) grass awaiting the ocean's permission to cross to Lanka — the same grass he had once turned into a weapon to protect Sita; the commentary also links the site with Vibhishana's surrender.,Ramanathapuram (RMD),"Near Ramanathapuram, en route to Rameswaram.",high,https://tirthaprabandha.wordpress.com/2018/01/14/darbhashayana/
86,South,Dakshina Prabandha (South),V.15-20,Tirtha,Ramasetu,"Rama Setu, Setu (Adam's Bridge)",Rama Setu (shoals between Dhanushkodi and Sri Lanka),Tamil Nadu (to Sri Lanka),Associated with Rama,The bridge built by the vanara army is extolled as a 'touchstone' generating faith in Rama's glory; the ocean's tides are pictured as rising in devotion at each stone that bears the dust of Rama's feet.,Rameswaram (RMM),Reached from Rameswaram / Dhanushkodi at the southeastern tip of Pamban island.,high,https://tirthaprabandha.wordpress.com/2018/01/14/ramasetu/
87,South,Dakshina Prabandha (South),V.21-25,Kshetra,Rameshwara,Rameswaram; Gandhamadana,Rameswaram (Pamban island),Tamil Nadu,Shiva as Rameshwara (linga established by Rama),"Among the four greatest pilgrimage sites of Bharata (with Dwaraka, Badari and Puri). The commentary argues Rama installed the linga for lokashikshana (public instruction), not to expiate sin — since Rama himself destroys all sin and Shiva meditates on the Rama-mantra.",Rameswaram (RMM),"On Pamban island, connected by the Pamban rail/road bridge from Mandapam.",high,https://tirthaprabandha.wordpress.com/2018/01/20/rameshwara/
88,South,Dakshina Prabandha (South),V.26-29,Kshetra,Dhanushkoti,Dhanushkodi,Dhanushkodi,Tamil Nadu,Associated with Rama,"Citing the Skanda Purana, Rama broke the Setu here with the reverse tip of his bow to reassure Vibhishana; visiting is said to grant merit equal to bathing at numerous tirthas.",Rameswaram (RMM),~20 km beyond Rameswaram at the eastern tip of Pamban island.,high,https://tirthaprabandha.wordpress.com/2018/01/23/dhanushkoti/
89,South,Dakshina Prabandha (South),V.30,River,Tamraparni nadee,Tamraparni river,Thamirabarani river,Tamil Nadu,River (associated with devotion to Hari),"The Tamraparni bestows moksha, illustrated by the image that 'even a shell in that river gives liberation to the water fallen into it' (i.e. produces pearls); its waters increase bhakti toward Hari.",Tirunelveli (TEN),Flows through the Tirunelveli region of southern Tamil Nadu.,high,https://tirthaprabandha.wordpress.com/2018/01/27/tamraparni-nadee/
90,South,Dakshina Prabandha (South),V.31,Mountain,Mahendra parvata,Mahendragiri,Mahendragiri (Western Ghats peak),Tamil Nadu,Associated with Hanuman,"The launch point of Hanuman's leap to Lanka; the force of his leap is said to have sunk most of the mountain into the earth, reframed as the mountain descending to carry to Bhudevi the assurance that Hanuman had reached Sita.",Nagercoil Junction (NCJ) / Tirunelveli (TEN),Peak near the Kanyakumari–Tirunelveli border (note: some traditions place Hanuman's Mahendragiri in Odisha).,high,https://tirthaprabandha.wordpress.com/2018/01/27/mahendra-parvata/
91,South,Dakshina Prabandha (South),V.32-35,Kshetra,Kanyakumari Kshetra,Kanyatirtha,Kanyakumari,Tamil Nadu,Kanyakumari Devi (identified with Mahalakshmi),"At the southern tip of Bharata where three seas meet; the Devi grants wealth, health and moksha. She took the form of a virgin (kanya) to slay the demon Bana, who could be killed only by a maiden. Madhvacharya visited on his southern tour; Agastya did tapas nearby.",Kanyakumari (CAPE),Southernmost tip of the Indian mainland; rail terminus at Kanyakumari.,high,https://tirthaprabandha.wordpress.com/2018/01/27/kanyakumari-kshetra/
92,South,Dakshina Prabandha (South),V.36,Kshetra,Shuchindra Kshetra,Suchindram,Suchindram,Tamil Nadu,Thanumalayan / Sthanumalayan Swamy (trinity shrine),The name derives from the tradition that Indra was purified here after Gautama Muni's curse; the commentary draws a moral that purifying an ordinary helpless person's mind yields greater merit than purifying even a powerful deity like Indra.,Nagercoil Junction (NCJ) / Kanyakumari (CAPE),"~10–13 km from Kanyakumari, near Nagercoil.",high,https://tirthaprabandha.wordpress.com/2018/01/28/shuchindra-kshetra/
93,South,Dakshina Prabandha (South),V.37,Kshetra,Tiruvattar,Adikeshava / Adi Kesava Perumal,Thiruvattar,Tamil Nadu,"Adi Kesava Perumal (Vishnu reclining, Anantashayana form)","A reclining form of the Lord described as flawless and 'the ocean of all auspicious attributes'; the very large murti (~18 ft) is viewed through three doorways, with a slain demon placed near the Lord's feet — parallel to Padmanabha.",Nagercoil Junction (NCJ),"~20 km from Thiruvananthapuram / ~30 km from Nagercoil, in Kanyakumari district.",high,https://tirthaprabandha.wordpress.com/2018/01/28/tiruvattar/
94,South,Dakshina Prabandha (South),V.38,River,Ghrutamala nadee,Ghrtamala,River near Thiruvananthapuram (identification uncertain),Kerala,River,"Symbolizes the destruction of sins through knowledge: like ghee (ghrta) feeding a flame, its waters are the 'root cause in lighting the fire of perfect knowledge' that burns away ignorance, granting jnana to bathers.",Thiruvananthapuram Central (TVC),Near Anantashayana (Thiruvananthapuram).,high,https://tirthaprabandha.wordpress.com/2018/01/28/ghrutamala-nadee/
95,South,Dakshina Prabandha (South),V.39-45,Kshetra,Anantashayana Kshetra,"Ananta Padmanabha, Padmanabha",Thiruvananthapuram (Sri Padmanabhaswamy temple),Kerala,Vishnu as Ananta Padmanabha (reclining on Shesha),"The Lord's reclining posture shows His infinite power in effortlessly governing the universe; the enormous murti is viewed through three doors (feet, mid-body, face), linked by the commentary to the Taittiriya Upanishad. Madhvacharya visited on his southern pilgrimage. Concluding kshetra of the section.",Thiruvananthapuram Central (TVC),In Thiruvananthapuram city; ~85 km from Kanyakumari.,high,https://tirthaprabandha.wordpress.com/2018/01/28/anantashayana-kshetra/
